notation,count
31AA223,17
94P211,17
25L(DORDRECHT)0,17
47I214,17
82A(DON QUIXOTE),17
11H(COSMAS & DAMIAN)6,17
25B3,17
11F22,17
"83(TERENTIUS, Eunuchus)",17
11F4223,17
73A622(+0),17
11H(BERNARDINO),17
48C92,17
11I62(DAVID)4,17
42E43,17
71A3,17
73F47,17
98B(CICERO)5,17
31E236212,17
73F232,17
11H(AMAND),17
71D1153,17
73A331,17
11I35,17
41A775,17
31B3,17
73A62,17
11F111(HORTUS CONCLUSUS),17
11F4213,17
11H(CONSTANTINE)34,17
73C,17
11I5,17
43C111261,17
98B(ALEXANDER THE GREAT)41,17
73A2222,17
71C125,17
92L1211,17
71Z,17
31A2549(+911),17
11H(AUGUSTINE)4,17
44B193,17
11A23,17
43C942,16
92K1,16
47D8(TONGS),16
94M,16
71E12231,16
43A3631,16
71I11,16
71O911,16
12FF63,16
95A(CEPHALUS)214,16
11H(ERASMUS),16
11H(JEROME)121,16
11F724,16
46C513,16
45I1,16
71C1313,16
73A624,16
57A6,16
11P31121,16
71F1544,16
11H(NORBERT),16
11H(LIVINUS)61,16
98B(SCIPIO AFRICANUS MAJOR)5,16
71E3152,16
11I72(JUDAS ISCARIOT),16
73F356,16
33B6,16
23R14,16
44G52,16
41A711,16
11H(PAUL)12,16
47G311,16
11HH(URSULA)119,16
45H3(+22),16
44G342,16
41A2411,16
71D2421,16
73F422,16
97CC7,16
49G91,16
71T53,16
73C23,16
71N1621,16
96A5(OCCASIO),16
61D(ENGLAND),16
31D13,16
73C331,16
94G234,16
94L322,16
73F2351,16
73F22382,16
47I212(+913),16
92E5121,16
11Q41,15
71C1172,15
11H(WILLIBRORD),15
48C520,15
71I32,15
49M32,15
41A773,15
71D12,15
12F62,15
71E41,15
49L12(R),15
45A,15
71E3242,15
43C521,15
73E427,15
25F36(PELICAN)(+1),15
11S1,15
73D83(+0),15
98B(CORIOLANUS)51,15
98B(ANTIOCHUS I)61,15
"83(BOCCACCIO, Decamerone)",15
98B(MAXENTIUS),15
48C7343,15
11D3122,15
31A2723,15
11C231(+0),15
48C7351,15
25B1,15
23L11,15
49G34,15
73F43,15
11H(ANNO OF COLOGNE),15
48C515,15
31A44411,15
92D192181,15
47I21,15
11H(IGNATIUS)7,15
44B14,15
33C8120,15
71B33,15
71Y4,15
46C1312,15
11I62(DAVID)3,15
73,15
31A4632,15
11D23,14
73F223153,14
11FF4322,14
42E141,14
31B52,14
12A422,14
41C4,14
11HH(ELISABETH),14
11N35,14
25H216,14
73B21(+3),14
23A41,14
11HH(GERTRUDE OF NIVELLES),14
25G1,14
98B(CIVILIS),14
44B117,14
11HH(BRIDGET),14
45D311,14
92C45411,14
71C2133,14
11Q22,14
41A777,14
49C113,14
95A(ICARUS)68,14
11F716,14
43A43,14
11D322,14
48B26,14
92D155,14
96A5(FORTUNA),14
56F2(+12),14
92M171,14
73D674,14
47I135,14
71A321,14
92C37,14
47H31,14
73AA523(+13),14
43C11311,14
48C742,14
71F3631,14
25G41(ROSE),14
49L63,14
25I144,14
73A33,14
92M132,14
31A41111,14
11HH(THERESA)11,14
25F36(PELICAN)(+42),14
71E51,14
43A2,14
31D1122(+73),14
25G41(LILY),14
11P315(DOMINICANS),14
24A6,14
71Q75,14
71F8132,14
73C53,14
11H(PACHOMIUS)4,14
33C224,14
98B(ALEXANDER THE GREAT)411,14
41B21,14
