notation,count
48C142,17
61E(KÖNIGSTEIN-FALKENSTEIN),17
46C13161,17
25I2451(+1),17
41A352,17
61E(TREIS (Treis-Karden)),17
31A2711,16
33A39,16
44A3,16
44C312,16
46CC21,16
11C,16
48CC75,16
48C1615,16
61B2(+52),16
41C38,16
61D(CAPRI),16
41D2632,16
92D1,16
24B3,16
31A251611,16
31AA(+4),16
31A231(+2),16
73D71,16
48C93,16
31A2763,16
61B2(+54),16
25I41,16
47I2133,16
43C113,16
11Q22,16
25G41(TULIP),16
61B111(+522),16
46C22,16
11Q331,16
25H152,16
73D351,16
49N1,16
47I1451,16
53CC3,16
25H1123(+1),16
47D41,16
61F(BURG EPPSTEIN),16
49L171,16
34B12(+9536),16
61D(MOSEL),16
48C167,16
61F(MARBURGER SCHLOSS),16
61E(ALEXANDRIA (Egypt)),16
25G3(FIR),15
31A22,15
22C4(RED),15
31AA14(+53),15
61D(NETHERLANDS),15
25F36(GOOSE),15
41C32,15
42A4,15
31A25312,15
73B14,15
41A7612,15
73B821,15
41B313,15
25I153,15
31A235(+1),15
48C5156,15
25F6,15
25G3(CYPRESS),15
41C311,15
41C313,15
24B6,15
45B(+1),15
31D15(+56),15
48C74,15
41D2653,15
31D15(+21),15
31A231(+1),15
31D13(+2),15
44G312,15
31A243,15
82A(DANTE),15
31A27112,15
61E(FRANKFURT-HÖCHST),15
46B21,15
25F711(CATERPILLAR),15
25G21(PEACH),15
25G41(CARNATION),15
33B9,15
41A381,15
45H3,15
73D41,15
25I2411,15
48C7324,15
31D16(+31),15
11H(ANTONY ABBOT),15
31A2421,15
11Q7131(CHOIR),15
25I18,15
45K14,15
45C2,15
31D17(+53),15
31A221(+31),15
31D15(+54),15
48A984,15
25I7,15
31D13(+31),15
61E(WIESBADEN),15
61B2(+51),15
31D13(+55),15
25G3(+23),15
48A91(+74221),15
61E(PIACENZA),15
61F(SAN FRANCESCO),15
11Q6222,15
25G4(REED),14
61E(AMALFI),14
44B152,14
25F35(PEACOCK),14
41D26612,14
25H2322(MEDITERRANEAN SEA),14
46C1421,14
41B22,14
41C65,14
25F24(DEER),14
46C14,14
11H(PAUL),14
41D221(HAT)(+82),14
31A235(+2),14
31A221(+1),14
41D2654,14
41A221,14
25F42,14
43C7871,14
46C23,14
41D2339,14
45M2,14
23D41,14
46C1451,14
47I4222,14
11H(AUGUSTINE),14
41B4,14
26C32,14
11P3112,14
31A25221,14
41A635,14
73D72121,14
11F2,14
73D312,14
11P3111,14
73D76,14
11Q7121(CHOIR),14
11D12,14
11I42,14
31A14(+2),14
41D221(MOB CAP),14
42A36,14
25HH15,14
5(+113),14
31A422,14
41AA17,14
61D(THE NETHERLANDS),14
11H(FRANCIS)9,14
61E(SALZBURG),14
61F(SANKT MARTIN),14
61E(BERGEN (Bergen-Enkheim)),14
61E(EISENACH),14
48A98(+1),14
61E(FRIEDBERG (Hessen)),14
45K1412,14
61E(BRAUBACH),14
61F(KLOSTER BLAUBEUREN),14
51L1,13
2,13
41D223,13
33C232,13
41D283,13
31A221(+3),13
47H313,13
31A5339,13
11H(JAMES THE GREAT),13
11D324,13
45C1,13
73A523,13
12E61,13
12C61,13
25K16,13
47I2141,13
31A25212,13
48C1613,13
61D(MONTI LATTARI),13
41C621,13
61E(SIENA),13
61F(PIAZZA SAN MARCO (Venezia)),13
61E(GELNHAUSEN),13
31A2627,13
41B162,13
31AA231(+2),13
45C13(DAGGER),13
48C753,13
26C4,13
41C11,13
45C41,13
25G3(BIRCH),13
31AA231(+1),13
31AA2513,13
46B2,13
41D221(BONNET),13
23R141,13
25G21(PEAR),13
25F711(FLY),13
11Q7311,13
41D21,13
25D23,13
25I244,13
12A521,13
46C1211,13
41C1,13
31A211,13
24A2,13
49L641,13
11P3154,13
73D31211,13
48C7351,13
31A2762,13
73D61,13
47I4223,13
11F421,13
49C4,13
41A641,13
11Q621,13
31A244,13
46C1422,13
33A11,13
31D15(+32),13
47I2112(+9531),13
47I223,13
31D13(+32),13
25H151(+1),13
25H22(+1),13
31A2321,13
25I1411(+1),13
61E(LORCH (Rheingau)),13
31A14(+51),13
"83(BUSCH, Herr und Frau Knopp, 1876)",13
61E(RAVENSBURG),13
61E(BAD NAUHEIM),13
61F(DOMUS VETTIORUM (Pompei)),13
22C4(GREEN),12
43C93,12
31A222,12
43C51,12
41D2331,12
73D64,12
73D6,12
61BB11,12
44G311,12
31B11,12
48C72,12
48CC72,12
"61B2(BECKMANN, Max)11(+511)",12
41A731,12
61F(GALLERIA DEGLI UFFIZI (Firenze)),12
31AA221(+4),12
25G3(+211),12
48C1611,12
46B111,12
25F72(MUSSEL),12
11H(LUKE),12
22C9,12
25I15,12
41D242,12
47I2111,12
31AA235(+2),12
31AA533(UPDO),12
73D323,12
31D111,12
61F(GROSSER TIERGARTEN (Berlin)),12
31D12(+53),12
42A32,12
48B2,12
43A2,12
31AA2364,12
31D16(+51),12
61BB2(+55),12
41A431,12
46B311,12
26E,12
48A9875,12
25G41(LILY),12
24B2,12
48C7321,12
47I141,12
41AA171,12
82A(HAMLET),12
11P3121,12
31A233(+4),12
41A7221,12
11G183,12
11G31,12
31AA2512,12
41A637,12
73D642,12
11G25,12
11Q751,12
5(+12),12
48A9833,12
61E(HEIDELBERG),12
31A(+32),12
41A646,12
34B11(+9536),12
31AA(+32),12
61D(CAMPAGNA ROMANA),12
25I14(+1),12
31D11222(+53),12
31D15(+55),12
61B1(+522),12
25H13(+1),12
46C122,12
61E(WEILBURG),12
61F(BURG ELTZ (Wierschem),12
61F(STIFTSKIRCHE),12
61F(BASILICA DI SAN MARCO),12
"83(BUSCH, DIE FOLGEN DER KRAFT, 1871)",12
82A(TURNER HOPPENSTEDT),12
61E(PAVIA),12
61E(OOSTENDE),12
61E(BUTZBACH),12
48C521,11
41A7122,11
31B6233,11
73B8,11
48CC7311,11
48C7333,11
11I3,11
61A,11
11H(JOSEPH),11
33C234,11
92C2,11
61D(CANAL GRANDE (Venezia)),11
31A2551,11
46C1313,11
41D2665,11
11I62(MOSES),11
92B1,11
92L1,11
92C4,11
49D322,11
11I62(DAVID),11
61F(COLOSSEO (Roma)),11
22C5,11
73C1,11
31B6214,11
56BB1,11
46C127,11
31AA2627,11
31A27111,11
31D14(+56),11
59A1,11
31AA14(+2),11
31A2354,11
33A3,11
23U24,11
48C8312,11
31A314,11
46C1111,11
46C2325,11
46A17,11
43C1142,11
26D4,11
31A246,11
25H224,11
61E(BERLIN-TIERGARTEN),11
41D2(+82),11
25FF411,11
43B12,11
11F726,11
11FF4222,11
42E311,11
11C23,11
25F26(HARE),11
73E23,11
48CC7323,11
47H44,11
49G21,11
31A232,11
11F711,11
11HH(MYRRHOPHORES),11
61F(WARTBURG),11
48CC7352,11
41A771,11
31A24,11
41C122,11
92L1912,11
92L1911,11
96A43,11
31A21,11
25HH11,11
11Q71411,11
33C2,11
47I21,11
25H1122(+1),11
25I28(+1),11
31AA311,11
98B(ALEXANDER THE GREAT),11
44G3121,11
5(+2),11
45D21(+22),11
21D1,11
61E(COCHEM),11
61D(LAHNTAL),11
31D11221(+4),11
61E(WEIMAR),11
61D(NECKAR),11
61F(SCHLOSS ORTENBERG),11
41A3241,11
61F(SANKT PETER),11
61E(LIENZINGEN),11
61E(EBERBACH (Neckar)),11
11F4(+3),11
41A7632,10
11G2,10
21D,10
31A234,10
31A27,10
31A2223,10
41A673,10
41D2631,10
41D2332,10
31AA14(+51),10
48C5153,10
45A1,10
24B,10
31AA53,10
11H(BARTHOLOMEW),10
73B641,10
31A2225,10
41B16,10
41C652,10
61D(SABINER BERGE),10
25H2323(GOLFO DI NAPOLI),10
61D(NILE),10
46D3,10
61F(SANTA MARIA DEL FIORE (Firenze)),10
54AA4,10
31A2516,10
41C6,10
61F(PONTE DEI SOSPIRI (Venezia)),10
11Q758,10
61F(KRANICHHOF (Frankfurt am Main)),10
"61F(CRONSTETTEN STIFT (Rossmarkt 17, Frankfurt am Main))",10
31AA235(+3),10
41D221(+82),10
41A222,10
31A2362,10
31D17(+51),10
45D311,10
73D2,10
48C7352,10
31AA231(+4),10
25A13,10
45B(+6),10
61BB2(+53),10
41C326,10
61B2(+521),10
41A711(+4),10
25F72(SNAIL),10
61BB111(+53),10
